iter	Passed	Remaining
477	688	751
478	689	750
479	691	748
480	693	748
481	697	749
482	699	748
483	701	747
484	703	746
485	704	745
486	705	743
487	707	742
488	709	740
489	713	742
490	715	741
491	717	740
492	719	739
493	720	737
494	721	736
495	723	734
496	729	738
497	730	736
498	732	735
499	735	735
500	737	734
501	739	733
502	741	732
503	743	732
504	745	730
505	746	728
506	749	728
507	750	727
508	752	725
509	758	728
510	759	727
511	761	725
512	762	723
513	763	722
514	765	720
515	766	718
516	767	717
517	770	717
518	773	716
519	774	714
520	775	713
521	776	711
522	778	709
523	779	708
524	780	706
525	781	704
526	783	703
527	785	702
528	787	701
529	788	699
530	789	697
531	791	695
532	792	694
533	793	692
534	794	690
535	795	688
536	796	686
537	797	684
538	800	684
539	802	683
540	803	681
541	804	679
542	806	678
543	807	676
544	809	675
545	810	673
546	811	672
547	814	671
548	816	670
549	817	668
550	818	667
551	819	665
552	820	663
553	822	661
554	823	659
555	824	658
556	825	656
557	826	654
558	827	652
559	830	652
560	831	650
561	832	649
562	833	647
563	835	645
564	836	643
565	837	641
566	838	640
567	839	638
568	840	636
569	841	634
570	843	634
571	846	633
572	847	631
573	848	629
574	849	628
575	850	626
576	852	624
577	853	622
578	854	621
579	855	619
580	856	617
581	859	617
582	861	616
583	862	614
584	863	612
585	864	610
586	865	608
587	866	607
588	867	605
589	868	603
590	869	601
591	870	600
592	874	600
593	876	598
594	877	597
595	878	595
596	879	593
597	880	592
598	881	590
599	882	588
600	884	586
601	885	585
602	886	583
603	888	582
604	890	581
605	891	579
606	892	578
607	894	576
608	895	574
609	896	572
610	897	571
611	898	569
612	899	567
613	900	566
614	902	564
615	904	563
616	905	562
617	906	560
618	907	558
619	909	557
620	910	555
621	911	553
622	912	552
623	913	550
624	914	548
625	915	547
626	920	547
627	921	545
628	922	544
629	923	542
630	924	540
631	926	539
632	927	537
633	928	535
634	929	534
635	930	532
636	934	532
637	935	531
638	937	529
639	938	528
640	940	526
641	941	525
642	943	523
643	945	522
644	947	521
645	949	520
646	952	519
647	954	518
648	955	516
649	957	515
650	959	514
651	960	512
652	961	510
653	963	509
654	965	508
655	966	506
656	967	505
657	968	503
658	969	501
659	970	500
660	971	498
661	972	496
662	973	495
663	974	493
664	976	491
665	978	490
666	980	489
667	981	487
668	982	486
669	983	484
670	985	483
671	986	481
672	987	479
673	988	478
674	989	476
675	990	474
676	993	473
677	994	472
678	996	470
679	997	469
680	998	467
681	999	465
682	1000	464
683	1001	462
684	1002	461
685	1003	459
686	1004	457
687	1006	456
688	1008	455
689	1009	453
690	1010	452
691	1011	450
692	1013	448
693	1014	447
694	1015	445
695	1016	443
696	1017	442
697	1018	440
698	1019	439
699	1020	437
700	1022	436
701	1024	434
702	1025	433
703	1026	431
704	1027	429
705	1028	428
706	1030	426
707	1031	425
708	1032	423
709	1033	422
710	1034	420
711	1036	419
712	1039	418
713	1041	417
714	1043	415
715	1045	414
716	1049	414
717	1055	414
718	1057	413
719	1062	413
720	1064	412
721	1072	412
722	1078	413
723	1086	414
724	1090	413
725	1092	412
726	1095	411
727	1102	411
728	1105	410
729	1108	409
730	1110	408
731	1113	407
732	1121	408
733	1122	406
734	1124	405
735	1126	404
736	1131	403
737	1135	403
738	1137	401
739	1139	400
740	1142	399
741	1147	398
742	1149	397
743	1151	396
744	1153	394
745	1155	393
746	1157	392
747	1163	392
748	1166	390
749	1168	389
750	1170	388
751	1172	386
752	1174	385
753	1178	384
754	1180	383
755	1182	381
756	1183	379
757	1185	378
758	1186	376
759	1187	375
760	1189	373
761	1194	373
762	1196	371
763	1198	370
764	1200	368
765	1201	367
766	1203	365
767	1204	363
768	1209	363
769	1211	361
770	1213	360
771	1215	359
772	1217	357
773	1218	355
774	1220	354
775	1225	353
776	1227	352
777	1229	350
778	1230	349
779	1232	347
780	1233	345
781	1234	344
782	1239	343
783	1241	342
784	1243	340
785	1245	339
786	1248	337
787	1249	336
788	1253	335
789	1256	333
790	1257	332
791	1259	330
792	1260	329
793	1262	327
794	1263	325
795	1264	324
796	1266	322
797	1270	321
798	1271	319
799	1273	318
800	1275	316
801	1276	315
802	1278	313
803	1279	311
804	1281	310
805	1284	309
806	1286	307
807	1288	306
808	1289	304
809	1291	302
810	1292	301
811	1295	299
812	1300	299
813	1303	297
814	1306	296
815	1308	295
816	1311	293
817	1316	292
818	1319	291
819	1320	289
820	1322	288
821	1323	286
822	1325	285
823	1327	283
824	1332	282
825	1333	280
826	1335	279
827	1336	277
828	1339	276
829	1340	274
830	1343	273
831	1344	271
832	1347	270
833	1349	268
834	1350	266
835	1351	265
836	1353	263
837	1354	261
838	1356	260
839	1359	258
840	1361	257
841	1363	255
842	1364	254
843	1365	252
844	1367	250
845	1368	249
846	1369	247
847	1370	245
848	1372	244
849	1375	242
850	1377	241
851	1378	239
852	1379	237
853	1381	236
854	1382	234
855	1383	232
856	1384	231
857	1386	229
858	1387	227
859	1390	226
860	1392	224
861	1394	223
862	1395	221
863	1397	219
864	1401	218
865	1402	217
866	1406	215
867	1407	214
868	1409	212
869	1413	211
870	1415	209
871	1423	208
872	1425	207
873	1428	205
874	1429	204
875	1430	202
876	1432	200
877	1436	199
878	1438	197
879	1439	196
880	1441	194
881	1442	193
882	1444	191
883	1446	189
884	1447	188
885	1450	186
886	1452	185
887	1453	183
888	1456	181
889	1457	180
890	1459	178
891	1460	176
892	1462	175
893	1463	173
894	1466	172
895	1467	170
896	1469	168
897	1470	167
898	1471	165
899	1473	163
900	1474	162
901	1476	160
902	1482	159
903	1484	157
904	1486	156
905	1487	154
906	1488	152
907	1490	150
908	1491	149
909	1494	147
910	1497	146
911	1498	144
912	1500	142
913	1502	141
914	1504	139
915	1505	138
916	1507	136
917	1511	134
918	1512	133
919	1514	131
920	1515	130
921	1517	128
922	1518	126
923	1520	125
924	1521	123
925	1524	121
926	1526	120
927	1527	118
928	1529	116
929	1530	115
930	1532	113
931	1533	111
932	1534	110
933	1535	108
934	1537	106
935	1540	105
936	1542	103
937	1543	102
938	1545	100
939	1546	98
940	1548	97
941	1550	95
942	1552	93
943	1555	92
944	1557	90
945	1558	88
946	1559	87
947	1560	85
948	1562	83
949	1563	82
950	1565	80
951	1566	78
952	1567	77
953	1573	75
954	1574	74
955	1575	72
956	1576	70
957	1578	69
958	1579	67
959	1580	65
960	1582	64
961	1583	62
962	1585	60
963	1587	59
964	1589	57
965	1590	55
966	1592	54
967	1593	52
968	1595	51
969	1597	49
970	1600	47
971	1601	46
972	1603	44
973	1604	42
974	1606	41
975	1607	39
976	1609	37
977	1611	36
978	1612	34
979	1616	32
980	1617	31
981	1619	29
982	1621	28
983	1623	26
984	1625	24
985	1627	23
986	1630	21
987	1632	19
988	1633	18
989	1635	16
990	1637	14
991	1639	13
992	1641	11
993	1642	9
994	1646	8
995	1648	6
996	1649	4
997	1651	3
998	1652	1
999	1654	0
